referencia;Wp;tipo_celda;Vmp ;Imp;Isc;Voc;dimensiones;celdas;Cpmax;Cvoc;Cisc;peso;precio;proveedor;link
540W Monocristalino Atlas ;540;Monocristalino ;31,23;17,29;18,21;37,58;1960x1303x35;108;-0,0035;-0,0028;0,00048;28,00;942000;Autosolar;https://autosolar.co/pdf/datasheet-atlas-520W-540W-mono.pdf
380 Monocristalino PERC JA solar;380;Monocristalino;34,77;10,93;11,47;41,62;1776x1052x35;120;-0,0035;-0,00272;0,00044;20,70;676000;Autosolar;https://autosolar.co/paneles-solares-24v/panel-ja-solar-450w-24v-monocristalino-perc
400W Perc Monocristalino ERA;400;Monocristalino;41,70;9,60;10,36;49,80;1979x1002x40;72;-0,0035;-0,00272;0,00044;22,50;504900;Autosolar;https://autosolar.co/paneles-solares-24v/panel-solar-400w-perc-monocristalino-era
325W Perc Monocristalino ERA;325;Monocristalino ;33,60;9,68;10,20;41,10;1665x1002x35;60;-0,0038001;-0,0029506;0,0008558;19,00;378200;Autosolar;https://autosolar.co/paneles-solares-red/panel-solar-325w-perc-monocristalino-era
455W monocristalino PERC  JA Solar ;455;Monocristalino ;41,82;10,88;11,41;49,85;2120x1052x40;144;-0,0035;-0,00272;0,00044;25,00;606300;Autosolar;https://autosolar.co/paneles-solares-24v/panel-solar-ja-solar-455w-24v-monocristalino-perc
400W  Monocristalino Perc EcoGReen;400;Monocristalino;39,92;10,02;10,40;48,60;1980x1002x40;72;-0,00396;-0,0031;0,0006;22,90;525150;Autosolar;https://autosolar.co/paneles-solares-24v/panel-solar-400w-24v-monocristalino-perc-ecogreen
340W  Monocristalino  PERC JA solar;340;Monocristalino ;34,73;9,79;10,46;41,55;1689x996x35;120;-0,0035;-0,00272;0,00044;18,70;480480;Autosolar;https://autosolar.co/paneles-solares-24v/panel-solar-340w-24v-monocristalino-perc-ja-solar
445 W Jinko Tiger Pro HC;445;Monocristalino ;33,72;13,05;13,73;41,02;1903x1134x30;120;-0,0035;-0,0028;0,00048;24,20;511750;Solaire;https://www.solaire.com.co/producto/panel-jinko-tiger-pro-60hc-445wp/
445 W Jinko Tiger LM HC PERC;445;Monocristalino ;41,17;10,81;11,46;49,07;2096x1039x35;144;-0,0035;-0,0029;0,00048;25,10;511750;Solaire;https://www.solaire.com.co/wp-content/uploads/2021/01/JKM435-455M-72HLM-V-D2-EN.pdf
450 W jinko Tiger LM HC PERC;450;Monocristalino ;41,37;10,88;11,53;49,27;2096x1039x35;144;-0,0035;-0,0029;0,00048;25,10;517500;Solaire;https://www.solaire.com.co/wp-content/uploads/2021/01/JKM435-455M-72HLM-V-D2-EN.pdf
465 W Jinko Tiger ;465;Monocristalino;43,18;10,77;11,59;51,92;2182x1029x35;156;-0,0035;-0,0028;0,00048;25,00;534750;Solaire;https://www.solaire.com.co/producto/panel-jinko-tiger-465wp-470wp/
472 W jinko Tiger;470;Monocristalino;43,28;10,86;11,68;52,14;2182x1029x35;156;-0,0035;-0,0028;0,00048;25,00;540500;Solaire;https://www.solaire.com.co/producto/panel-jinko-tiger-465wp-470wp/
530 W Jinko Tiger Pro ;530;Monocristalino;40,56;13,07;13,71;49,26;2274x1134x35;144;-0,0035;-0,0028;0,00048;28,90;609500;Solaire;https://www.solaire.com.co/producto/panel-jinko-tiger-pro-530-535wp/
535 W Jinko Tiger Pro ;535;Monocrsitalino ;40,63;13,17;13,79;49,34;2274x1134x35;144;-0,0035;-0,0028;0,00048;28,90;615250;Solaire;https://www.solaire.com.co/producto/panel-jinko-tiger-pro-530-535wp/
